Price,Bedrooms,Bathrooms,Square_feet
388000.0,4.0,3.5,2528.0
699950.0,3.0,2.0,1601.0
399000.0,3.0,3.0,1588.0
1700000.0,4.0,2.5,2151.0
899000.0,3.0,2.0,1054.0
1250000.0,3.0,2.0,1583.0
699000.0,2.0,1.0,1190.0
1025000.0,3.0,1.5,1571.0
499000.0,2.0,1.0,1192.0
4099000.0,5.0,5.5,4581.0
1659000.0,3.0,3.0,1951.0
899000.0,2.0,1.0,1032.0
1398000.0,4.0,3.5,2773.0
1198000.0,3.0,2.5,2299.0
1250000.0,3.0,2.0,1204.0
1450000.0,3.0,2.0,1204.0
1499000.0,3.0,2.0,1300.0
1650000.0,4.0,2.0,2065.0
998000.0,3.0,2.0,1075.0
945000.0,3.0,2.0,1181.0
2190000.0,3.0,2.0,1641.0
899950.0,3.0,2.0,1250.0
935000.0,1.0,2.0,1505.0
359999.0,3.0,2.0,1600.0
1799888.0,3.0,2.5,2158.0
1295000.0,3.0,2.0,1461.0
1249000.0,3.0,2.0,1554.0
2799000.0,4.0,4.0,3576.0
879000.0,3.0,1.0,1314.0
849000.0,3.0,2.0,1317.0
185000.0,2.0,1.0,832.0
1476880.0,3.0,3.5,2201.0
1398000.0,5.0,4.0,1802.0
1700000.0,4.0,2.0,2214.0
2528895.0,5.0,4.5,3903.0
1459880.0,3.0,3.5,2152.0
1955473.0,4.0,3.5,2581.0
998000.0,7.0,3.0,3047.0
945072.0,2.0,2.5,1462.0
1257210.0,4.0,3.5,2430.0
989000.0,3.0,2.0,1419.0
1471880.0,3.0,3.5,2201.0
699000.0,2.0,1.0,823.0
1079880.0,3.0,2.5,1804.0
1455880.0,3.0,3.5,2152.0
689000.0,2.0,1.0,981.0
930000.0,2.0,1.0,1096.0
628800.0,2.0,2.0,1277.0
1265880.0,4.0,3.5,2254.0
750000.0,2.0,2.0,1500.0
999000.0,3.0,2.5,1520.0
941018.0,2.0,2.5,1462.0
1241300.0,4.0,3.5,2430.0
1385490.0,4.0,3.0,2030.0
1158880.0,4.0,3.5,2129.0
1287025.0,4.0,2.5,1678.0
169000.0,2.0,2.0,1368.0
949950.0,3.0,2.0,1248.0
1298880.0,3.0,2.0,1672.0
1625880.0,4.0,3.5,2698.0
850000.0,3.0,2.0,1515.0
598000.0,3.0,2.0,1469.0
1198880.0,3.0,2.5,1407.0
2295000.0,4.0,3.0,2432.0
698000.0,10.0,8.0,5338.0
958000.0,3.0,3.0,1732.0
675000.0,2.0,1.5,1247.0
1143880.0,2.0,2.5,1291.0
658000.0,1.0,1.0,1062.0
359999.0,4.0,2.0,1507.0
679000.0,2.0,1.0,1110.0
750000.0,2.0,1.0,837.0
995000.0,2.0,1.5,1030.0
899000.0,3.0,3.0,1563.0
2560000.0,5.0,4.5,3961.0
339000.0,3.0,1.0,1140.0
99950.0,1.0,1.0,300.0
598888.0,3.0,2.5,1478.0
1200000.0,6.0,5.0,2654.0
540000.0,2.0,2.0,1224.0
1299000.0,4.0,2.0,1360.0
2299000.0,5.0,3.5,3525.0
3599888.0,5.0,5.5,4921.0
1599000.0,5.0,3.0,2180.0
749950.0,3.0,2.0,1422.0
725000.0,2.0,2.0,1334.0
779000.0,3.0,2.5,1457.0
2099000.0,4.0,3.0,2110.0
